data_type,n,d,livello,rep,method,measure,acc./ARI
Gauss,100,10,facile,39,umap,tree,0.91
Gauss,100,10,facile,39,pca,kmeans,0.5135
Gauss,100,10,facile,39,pca,tree,0.93
Torus,100,10,facile,39,tsne,kmeans,0.0807
Torus,100,10,facile,39,tsne,tree,0.89
Torus,100,10,facile,39,umap,kmeans,0.0691
Torus,100,10,facile,39,umap,tree,0.97
Torus,100,10,facile,39,pca,kmeans,0.0581
Torus,100,10,facile,39,pca,tree,0.94
Gauss,100,10,facile,40,tsne,kmeans,0.6041
Gauss,100,10,facile,40,tsne,tree,0.87
Gauss,100,10,facile,40,umap,kmeans,0.573
Gauss,100,10,facile,40,umap,tree,0.88
Gauss,100,10,facile,40,pca,kmeans,0.5729
Gauss,100,10,facile,40,pca,tree,0.91
Torus,100,10,facile,40,tsne,kmeans,0.2845
Torus,100,10,facile,40,tsne,tree,0.87
Torus,100,10,facile,40,umap,kmeans,0.3072
Torus,100,10,facile,40,umap,tree,0.97
Torus,100,10,facile,40,pca,kmeans,0.1515
Torus,100,10,facile,40,pca,tree,0.85
Gauss,100,10,facile,41,tsne,kmeans,0.5733
Gauss,100,10,facile,41,tsne,tree,0.91
Gauss,100,10,facile,41,umap,kmeans,0.5733
Gauss,100,10,facile,41,umap,tree,0.9
Gauss,100,10,facile,41,pca,kmeans,0.6043
Gauss,100,10,facile,41,pca,tree,0.91
Torus,100,10,facile,41,tsne,kmeans,0.2226
Torus,100,10,facile,41,tsne,tree,0.92
Torus,100,10,facile,41,umap,kmeans,0.2036
Torus,100,10,facile,41,umap,tree,0.96
Torus,100,10,facile,41,pca,kmeans,0.1357
Torus,100,10,facile,41,pca,tree,0.87
Gauss,100,10,facile,42,tsne,kmeans,0.5733
Gauss,100,10,facile,42,tsne,tree,0.89
Gauss,100,10,facile,42,umap,kmeans,0.543
Gauss,100,10,facile,42,umap,tree,0.91
Gauss,100,10,facile,42,pca,kmeans,0.6364
Gauss,100,10,facile,42,pca,tree,0.92
Torus,100,10,facile,42,tsne,kmeans,0.1681
Torus,100,10,facile,42,tsne,tree,0.99
Torus,100,10,facile,42,umap,kmeans,0.243
Torus,100,10,facile,42,umap,tree,1
Torus,100,10,facile,42,pca,kmeans,0.1207
Torus,100,10,facile,42,pca,tree,0.92
Gauss,100,10,facile,43,tsne,kmeans,0.543
Gauss,100,10,facile,43,tsne,tree,0.88
Gauss,100,10,facile,43,umap,kmeans,0.5135
Gauss,100,10,facile,43,umap,tree,0.91
Gauss,100,10,facile,43,pca,kmeans,0.4852
Gauss,100,10,facile,43,pca,tree,0.88
Torus,100,10,facile,43,tsne,kmeans,0.2226
Torus,100,10,facile,43,tsne,tree,0.92
Torus,100,10,facile,43,umap,kmeans,0.1854
Torus,100,10,facile,43,umap,tree,0.95
Torus,100,10,facile,43,pca,kmeans,0.0225
Torus,100,10,facile,43,pca,tree,0.92
Gauss,100,10,facile,44,tsne,kmeans,0.5134
Gauss,100,10,facile,44,tsne,tree,0.88
Gauss,100,10,facile,44,umap,kmeans,0.4563
Gauss,100,10,facile,44,umap,tree,0.89
Gauss,100,10,facile,44,pca,kmeans,0.4563
Gauss,100,10,facile,44,pca,tree,0.89
Torus,100,10,facile,44,tsne,kmeans,0.2844
